unit_id,community_id,management_company,property_name,property_type,units,address
34,24,Hispanic Housing Dev. Corp.,65th Infantry Boringueneers Apts.,Supportive/Veterans,48,1045 N. Sacramento Blvd.
35,29,Interstate Realty Management Co.,Park Douglas,Multifamily,7,1262-1300 S. Washtenaw Ave.
36,33,East Lake Management Co.,The Studios,Supportive Housing,96,1801 S. Wabash St.
37,29,Interstate Realty Management Co.,Park Douglas,Multifamily,5,2707 W. 12th St.
38,3,The FLATS,The Wilmore,ARO,7,4600 N. Kenmore Ave.
39,29,Interstate Realty Management Co.,Park Douglas,Multifamily,17,2642-44 W. 12 th Pl
40,31,The Resurrection Project,Casa Puebla,Multifamily,63,2014 S. Racine Ave.
41,30,The Resurrection Project,Casa Tabasco,Multifamily,8,3515-17 W. 23rd St.
42,25,Affordable Property Management Specialist,Rebecca Walker Complex,Multifamily,12,5565-71 W. Quincy Ave.
43,22,Related Management Co. LP,Madison Renaissance Apts.,Multifamily,30,1816 N. St. Louis Ave.
44,48,Pacific Management Inc.,Montclare Senior Residences of Calumet Heights,Senior,134,9401 S. Stony Island Ave.
45,3,Preservation Housing Management LLC,Hazel Winthrop Apts.,Multifamily,6,4426 N. Magnolia Ave.
46,29,Interstate Realty Management Co.,Park Douglas,Multifamily,10,1310-14 S. Washtenaw Ave.
47,24,Tandem Inc.,Avenir,ARO,39,730 N. Milwuakee Ave.
48,6,Silver Property Group,Patterson Green LLC,ARO,2,1118 W. Pattereson Ave.
49,23,"La Casa Norte, Inc.",Solid Ground Supportive Housing Program,Supportive/Males 18-24yrs.,35,3507 W. North Ave.
50,15,The Renaissance Cos.,The Kilpatrick Renaissance,Senior,98,4655 W. Burteau Ave.
51,71,Catholic Charities Housing Devp.,St. Sabina Elder Village Apts.,Senior HUD 202,80,1222 W. 79th St.
52,28,John Buck Cos.,The Venn,ARO,59,855 W. Madison St.
53,7,Realty & Mortgage Co.,The Apartments at Lincoln Common,ARO,54,2345 N. Lincoln Ave.
54,28,Interstate Realty Management Co.,Westhaven Park Phase IIA,Multifamily,92,2237 W. Maypole Ave.
55,15,@properties,4812-15 W. Montrose Apts.,ARO,2,4812-15 W. Montrose Ave.
56,24,Outlook Management,Seven 10 West,ARO,1,710 W. Grand Ave.
57,5,Campell Street Asset Management Inc.,1911-21 W. Irving Park Rd.,ARO,2,1911-21 W. Irving Park Rd.
58,23,Bickerdike Apts.,Rosa Parks Apts.,Multifamily,6,649 N. Sawyer Ave.
59,35,"Urban Property Advisors, LLC",Park Boulevard IIA,Multifamily,80,3640 S. State St.
60,26,Deborah's Place Ltd.,The Rebecca Johnson Apts.,Supportive Housing,52,2822 W. Jackson Blvd.
61,23,Bickerdike Apts.,Nelson Mandela Apts.,Multifamily,6,3224 W. Ohio St.
62,8,Willow Bridge,920northwells,ARO,32,920 N. Wells St.
63,38,CMHDC/Progressive NFP/Kass Management,Progressive Square,Multifamily,107,4752 S. Wabash Ave.
64,24,Bucktown Gateway,Bucktown Gateway,ARO,1,1667 N. Western Ave.
65,23,LUCHA,Tierra Linda Apts.,Multifamily,3,1757 N. Drake Ave.
66,16,Evergreen Real Estate Services LLC,Indepedence Apts.,Senior,14,4022 N. Elston Ave.
67,45,Pacific Management Inc.,Montclare Senior Residences of Avalon Park,Senior,102,1200 E. 78th St.
68,23,LUCHA,Tierra Linda Apts.,Multifamily,6,1749-51 N. Drake Ave.
69,1,The CHA,Caroline Hedger Apts.,Senior,436,6400 N. Sheridan Road
70,28,AIMCO,Newberry Park Apts.,Multifamily,124,1355 S. Blue Island Ave.
71,37,"East Lake Management Group, Inc.",Fellowship Manor,Senior,100,5041 S. Princeton Ave.
72,27,Deborah's Place,Deborah's Place III,Supportive Housing,90,2822 W. Jackson Blvd.
73,38,"Metroplex, Inc.",Williard Square Apts.,Multifamily,100,4907 S. St. Lawrence Ave.
74,6,33 Realty,Low-Line Commons,ARO,5,3421 N. Ashland Ave
75,1,Preservation Housing Management LLC,Levy House,Senior,57,1221 W. Sherwin Ave.
76,8,Realty & Mortgage Co.,The Mark Twain,SRO,148,111 W. Division St.
77,23,Bickerdike Apts.,Rosa Parks Apts.,Multifamily,6,601 N. Drake Ave
78,27,Realty & Mortgage Co.,Homan Square Apartments Phase VI,Multifamily,52,3609 W. Arthington St.
79,1,Hispanic Housing Dev. Corp.,James Sneider Apts.,Senior,57,7450 N. Rogers Ave.
80,7,Anixter Center Housing Services,Halsted Apts.,People with Disabilities,14,2537 N. Halsted St.
81,29,Interstate Realty Management Co.,Park Douglas,Multifamily,29,1218-20 S. Washtenaw Ave.
82,3,Leasing & Management Co. Inc.,Uptown Preservation Apts.,Multifamily,18,4431 N. Clifton Ave.
83,28,Heartland Houisng Inc.,Harvest Commons,Supportive,89,1519 W. Warren Blvd.
84,19,Daniel Management Group,Galewood Flats,ARO,1,2114 N. Nashville Ave.
85,23,Bickerdike Apts.,La Estancia,Multifamily,9,3248 W. Division St.
86,38,TLC Management Co.,Mayfair Apts.,Multifamily,67,4832 S. Vincennes Ave.
87,25,Heartland Housing Inc.,Mayfield Apts.,Supportive Housing,39,148 N. Mayfield Ave.
88,29,Interstate Realty Management Co.,Park Douglas,Multifamily,4,2652 W. 12th Pl
89,33,Holsten Management Corp.,Hilliard Homes Phase II,Multifamily,176,2031 S. Clark St.
90,11,Senior Lifestyle Corp.,Senior Suites of Jefferson Park,Senior,73,5400 N. Northwest Hwy.
91,22,LUCHA,Tierra Linda Apts.,Multfamily,3,1858 N. Spaulding Ave.
92,13,Elderly Housing Devp. & Operations Corp.,Edward M. Marx Apts.,Senior,180,5801 N. Pulaski Road
93,38,Tri-Mart Management Co.,Geneva Gables,Multifamily,65,4420-24 S. Michigan Ave.
94,24,LUCHA,Borinquen Bella Apts.,Multifamily,23,"1414,1451 N. Washtenaw Ave."
95,2,Chicago Apartment Finders,"5822 North Western, LLC",ARO,2,5822 N. Western Ave.
96,24,Hispanic Housing Dev. Corp.,North and Talman Family Apts.,Multifamily,30,2654 W. North Ave.
97,4,Kass Management,The Westner,ARO,2,4618 N. Western Ave.
98,41,Peak Campus,Vue53,ARO,27,1330 E. 53rd St.
99,42,"Urban Property Advisors, LLC",65th Street Apts.,Multifamily,6,817 E. 64th St.
100,14,"Metroplex, Inc.",Mayfair Commons,Senior,97,4444 W. Lawrence Ave.
101,3,Mercy Housing,Malden Arms Apts.,Multifamily,41,4727 N. Malden St.
102,4,CA Urban Living,2247 W. Lawrence Ave.,ARO,2,2247 W. Lawrence Ave.
103,40,St. Edmund's Manor Ltd.,St. Edmund's Manor,Multifamily,24,5947 S. Indiana Ave.
104,67,West Englewood Dev. Org.,Clara Temple Hampton Residence,Multifamily,71,1656 W. 63rd St.
105,31,Ventus Holdings LLC,Blue Island,ARO,1,1907 S. Blue Island Ave.
106,19,Senior Lifestyle Corp.,Senior Suites of Belmont-Cragin,Senior,86,6045 W. Grand Ave.
107,29,Dickson Estates Apartments,Dicksons Estates Apts.,Multifamily,48,1129 S. Sacramento Ave.
108,28,Aberdeen East,171 N. Aberdeen St.,ARO,6,171 N. Aberdeen St.
109,23,LUCHA,Tierra Linda Apts.,Multifamily,6,1649-51 N. Drake Ave.
110,6,Cagan Management Group,The Medallion,ARO,7,3121 N. Broadway
111,29,Lawndale Christian Residential Svcs.,Renaissance Place Apts.,Multifamily,11,3128 W. Douglas Blvd.
112,28,East Lake Management Co.,Jackson Square West End,Multifamily,115,2425 W. Adams St.
113,3,Holsten Real Estate Dev. Corp.,Wilson Yard Senior Apts.,Senior,13,1032 W. Montrose Ave
114,31,The Resurrection Project,Casa Chiapas,Multifamily,72,1712 W. 17th St.
115,49,Mercy Housing,Roseland Village Grand-Family Apts.,Inter-generational,10,63 E. 104th St.
116,24,Honore Properties,1038 N. Ashland,ARO,2,1038-40 N. Ashland Ave.
117,28,Leasing & Management Co. Inc.,McCrory Senior Apts.,Senior,62,1637-59 W. Washington Blvd.
118,3,Sarah's Circle,Sarah's House,Women's Supportive,10,4836 N. Sheridan Road
119,15,Zidan Management Group,4015 Narragansett LLC,ARO,2,4015-23 N. Narragansett Ave.
120,6,Draper and Kramer,Wrigleyville Lofts,ARO,8,949 W. Dakin St.
121,29,Interstate Realty Management Co.,Park Doulglas,Multifamily,17,1345 S. Fairfield Ave.
122,3,Leasing & Management Co. Inc.,Uptown Preservation Apts.,Multifamily,18,927 W. Wilson Ave.
123,3,Malet Realty,Saxony Wilson,ARO,2,1630 W. Wilson Ave.
124,73,Senior Lifestyle Corp.,Senior Suites of Washington Heights,Senior,82,848 W. 103rd St.
125,30,The Resurrection Project,Casa Sor Juana,Multifamily,29,2700 S. Drake Ave.
126,61,Senior Lifestyle Co.,Senior Suites of New City,Multifamily,115,4845 S. Western Blvd.
127,29,Interstate Realty Management Co.,Park Douglas,Multifamily,1,1260 S. Fairfield Ave.
128,23,Bickerdike Apts.,Harold Washington Unity Coop,Multifamily,12,3120-38 W. Ohio St.
129,41,Bickerdike Apts.,5432-44 S. Woodlawn,ARO,10,5432 S. Woodlawn Ave.
130,24,Centrum Partners,Centrum Wicker Park,ARO,6,1664 W. Division St.
131,3,Willow Bridge,Solverre,ARO,8,4600 N. Marine Dr.
132,6,DLG Management,927 W. Irving,ARO,1,927 W. Irving Park Rd.
133,68,Pacific Management Inc.,Montclare JoAnn Thompson Senior Residences,Senior,102,6332 S Green St.
134,19,Perlmark Realty Management,Belmont Place Apts.,Senior,110,4645 W. Belmont Ave.
135,23,Volunteers of America Illinois,Hope Manor Apts.,Supportive/Veterans,50,3053 W. Franklin Blvd.
136,42,The Thresholds,Dorchester Apts.,Multifamily,67,1410 E. 62nd St.
137,3,33 Realty,Upshore Chapter,ARO,7,4555 N. Sheridan Road
138,29,Holsten Management Corp.,Lawndale Restoration II Apts. (scattered sites),Multifamily,170,10 N. Hamlin Ave.
139,3,"Metroplex, Inc.",Sunnyside Kenmore Apts.,Multifamily,83,847-49 W. Sunnyside Ave.
140,19,Lester and Rosalie Anixter Center,Crystal Courts/Anixter Center,Senior,17,5038 W. Armitage Ave.
141,55,Senior Lifestyle Corp.,Senior Suites of Hegewisch,Senior,116,13550 S. Avenue O
142,4,DLG Management,The Convent,ARO,3,4927 N. Claremont Ave.
143,23,Bickerdike Apts.,Nelson Mandela Apts.,Multifamily,6,3108 W. Franklin Blvd.
144,19,Zitella Development,2917-39 N. Central,ARO,3,2917-39 N. Central Ave.
145,49,Mercy Housing,Roseland Place Senior Apts.,Senior,59,10426 S. Michigan Ave.
146,40,St. Edmund's Redevelopment Corp.,St. Edmund's Commons,Multifamily,54,110 E. 60th St.
147,46,Interfaith Housing Corp.,Casa Kirk,Multifamily,29,3248 E. 92nd St.
148,35,Westward 360,Unity Hall,ARO,2,3138-40  S. Indiana Ave.
149,23,Bickerdike Apts.,Nelson Mandela Apts.,Multifamily,6,3500 W. Ohio St.
150,71,"Urban Property Advisors, LLC",Auburn Commons,Senior,72,1626 W. 87th St.
151,29,Lawndale Christian Residential Svcs.,Lazarus Apartments,Multifamily,26,1859 S. Pulaski Ave.
152,33,Holsten Real Estate Dev. Corp.,Hilliard Homes Phase I,Multifamily,170,2030 S. State St.
153,22,Bickerdike Apartments,Zapata Apts.,Multifamily,3,1955 N. St. Louis Ave.
154,24,Fifield Co.,Luxe on Chicago,ARO,4,1838 W. Chicago Ave.
155,71,East Lake Management & Development Corp.,Stone Terrace,Multifamily,56,8440 S. Parnell Ave.
156,38,Paul G. Stewart Assoc.,Paul G. Stewart Phase III Tower,Multifamily,180,401 E. Bowen Ave.
157,22,Wilmot Properties,1957 N.Fairfield/2701 W. Armitage,ARO,6,1957 N. Fairfiled Ave.
158,5,"Metroplex, Inc.",North Center Senior Apts.,Senior,60,2324 W. Irving Park Road
159,50,Triangle & Assoc.,Pullman Suites,Senior,60,15 E. 112th Place
160,24,Fifield Cos.,Westerly Apts.,ARO,3,740 N. Aberdeen St.
161,36,"Urban Property Advisors, LLC",Lakefront Phase II,Multifamily,6,4131 S. Lake Park Ave.
162,23,Bickerdike Apts.,Harold Washington Unity Coop,Multifamily,8,636-38 N. Albany Ave.
163,3,RL Accelerated,811 Uptown,ARO,22,811 W. Agatite Ave.
164,31,The Resurrection Project,Casa Colima,Multifamily,3,1427 W. Cullerton St.
165,42,"Urban Property Advisors, LLC",65th Street Apts.,Multifamily,15,6400 S. Maryland Ave.
166,42,AIMCO,Renaissance Apts.,Multifamily,64,6200 S. University Ave.
167,33,Senior Lifestyle Corp.,Senior Suites of Central Station,Senior,276,1400 S. Indiana Ave.
168,33,Holsten Management Corp.,Hilliard Homes Phase II,Senior,151,30 W. Cermak Road
169,36,"Urban Property Advisors, LLC",Lakefront Phase II,Multifamily,6,1120 E. Bowen Ave.
170,54,Habitat Company,Eden Green Apts.,Multifamily,258,301 E. 132nd Pl
171,18,The Brixen,2931-57 N. Harlem LLC,ARO,5,2931-57 N. Harlem Ave.
172,28,Interstate Realty Management Co.,City Gardens,Multifamily,76,320 S. Maplewood Ave.
173,33,Brookfield Properties,The Park at Central Station,Senior,91,1251 S. Michigan Ave.
174,27,The Habitat Co.,East Park Apts.,Supportive Housing,152,3300 W. Maypole Ave.
175,68,Volunteers of America Illinois,Hope Manor Village,Veterans,36,5900-6100 S. Green/Peoria/Sangamon
176,10,Senior Lifestyle,Senior Suites of Norwood Park,Senior,84,5700 N. Harlem Ave.
177,8,Mercy Housing Management Group,Schiff Residences,SRO/Supportive,96,1244 N. Clybourn Ave.
178,22,Habitat Company,Renaissance West,Senior,41,2517 W. Fullerton Ave.
179,1,CIG Management,Wayne Senior Housing,Senior,119,6928 N. Wayne Ave.
180,27,East Lake Management & Development Corp.,Rockwell Gardens Phase IA & IIA,Multifamily,143,2653 W. Madison St.
181,3,Zidan Management Group,Somerset Place Apts.,ARO,16,5009 N. Sheridan Road
182,6,"RRG Development, Inc.",Renaissance St. Luke Greenview Place,Senior Supportive Living,97,1501 W. Melrose St.
183,5,The FLATS,The Henry,ARO,4,1819 W. Montrose Ave.
184,23,Bickerdike Apts.,Rosa Parks Apts.,Multifamily,12,526 N. St. Louis Ave.
185,56,Perlmark Realty Management LLC,Midway Pointe Senior Living,Senior,85,5011 W. 47th St.
186,49,NHS Redevelopment Corp.,Roseland Ridge Apts.,Multifamily,40,10513 S. Michigan Ave.
187,42,Preservation Housing Management LLC,Trianon Lofts,Multifamily,12,803 E. 61st St.
188,28,Related Management Co. LP,Roosevelt Square Phase I & II,Mutifamily,160,1346 W. Rolosevelt Road
189,23,Bickerdike Apts.,Rosa Parks Apts.,Multifamily,6,521 N. St. Louis Ave.
190,28,"East Lake Management Group, Inc.",Roosevelt Place,Senior,181,1401 W. Roosevelt Road
191,6,Heartland Houing Inc.,Town Hall Apts.,Senior LGBTQ,79,3600 N. Halsted St.
192,29,"AIDSCare, Inc.",Phoenix House,Supportive/HIV/AIDS,32,1251 S. Sawyer Ave.
193,35,"Urban Property Advisors, LLC",Park Boulevard IIA,Multifamily,36,17 W. 36th St.
194,42,Woodlawn East Community,Eddie Mae & Alex Johnson Apts.,Multifamily,84,6230 S. Dorchester Ave.
195,67,Interfaith Housing Corp.,New West Englewood Homes,Multifamily,12,2109 W. 63rd St.
196,27,Holsten Management Corp.,Switching Station Lofts,Multifamily/Artists,24,15 S. Homan Ave.
197,3,The Apartment Source,The Fifth,ARO,3,4453 N Hazel
198,29,Interstate Realty Management Co.,Park Douglas,Multifamily,29,1317-19 S. Fairfield Ave.
199,35,"Urban Property Advisors, LLC",Park Boulevard IIB,Multifamily,72,3700 S. Dearborn St.
200,5,KR Developments,HW,ARO,5,2405 W. Hutchinson St.
201,42,"Urban Property Advisors, LLC",65th Street Apts.,Multifamily,18,6522 S. Ingleside Ave.
202,8,AMLI Realty Co.,AMLI 808,ARO,32,808 N. Wells St.
203,38,The Community Builders Inc.,Cornerstone Apts.,Multifamily,5,636 E. 50th St.
204,39,The Habitat Co.,Drexel Preservation,Multifamily,155,837 E. 47th St.
205,27,Realty & Mortgage Co.,Harvest Homes,Multifamily,36,3512-46 W. Fifth Ave.
206,28,Related Management,Taylor Street Apts.,Multifamily,29,1342 W. Taylor St.
207,36,East Lake Management,Drexel Street Properties,Multifamily,61,848 E. 40th St.
208,36,"Urban Property Advisors, LLC",Lakefront Phase II,Multifamily,3,4143 S. Lake Park Ave.
209,38,Interstate Realty Management Co.,Legends South - Coleman Place,Multifamily,118,223 E. 41st St.
210,18,Pacific Management Inc.,The Montclare Senior Residences,Senior,7,6650 W. Belden Ave.
211,22,LUCHA,Tierra Linda Apts.,Multifamily,3,3572 W. Palmer St.
212,42,Preservation Housing Management LLC,Woodlawn Station,Multifamily,55,6253 S. Cottage Grove Ave.
213,38,Interstate Realty Management Co.,Legends South - Mahalia Place,Multifamily,110,116 E. 43rd St.
214,58,H&J Real Estate Management,El Zócalo,Multifamily,30,3246 W. 47th St.
215,29,Preservation Housing Management LLC,Greenwood Park Apts.,Multifamily,122,4700 S. Greenwood Ave.
216,3,Leasing & Management Co. Inc.,Uptown Preservation Apts.,Multifamily,160,900 W. Windsor Ave.
217,8,Interstate Realty Management Co.,The Marshall Apts.,SRO,90,1232 N. LaSalle Drive
218,25,Waller Street L.P.,Mt. Vernon Manor,Senior,60,30 N. Waller Ave.
219,8,Holsten Management Corp.,Parkside-I Rental,Multifamily,116,545 W. Division St.
220,25,Congress Commons LLC,Congress Commons LLC,Multifamily,161,504 S. Laramie Ave.
221,24,rmk Management,Wicker Park Connection,ARO,20,1640 W. Division St.
222,25,"Prairie Management & Development, Inc.",Elois McCoy Village Apts.,Senior HUD 202,60,4650 W. Van Buren St.
223,73,Realty & Mortgage Co.,Brainerd Senior Center,Senior,60,8915 S. Loomis St.
224,40,St. Edmund's Village LP,St. Edmund's Village,Multifamily,31,6253 S. Michigan Ave.
225,68,Voluinteers of America Illinois,Hope Manor II Apts.,Supportive/Veterans,73,6002 S. Halsted St.
226,50,Mercy Housing,Pullman Wheelworks,Multifamily,210,901 E. 104th St.
227,36,"Urban Property Advisors, LLC",Lakefront Phase II,Multifamily,3,1128 E. Bowen Ave.
228,3,Preservation Housing Management LLC,Hazel Winthrop Apts.,Multifamily,6,912 W. Montrose Ave.
229,49,Mercy Housing Lakefront,Wentworth Commons,Supportive Housing,50,11045 S. Wentworth Ave.
230,6,rmk Management,Viridian on Sheridan,ARO,2,734 W. Sheridan Rd.
231,32,Village Green Management Co.,Randolph Tower City Apts. (studios only),Multifamily,16,188 W. Randolph St.
232,24,Wicker Park Apartments Inc.,East Village Lofts,ARO,1,1100 N. Ashland Ave.
233,24,Dream Town Realty,1938 W. North Ave.,ARO,2,1938 W. North Ave.
234,14,Senior Lifestyle Corp.,Senior Suites of Ravenswood Manor,Senior,80,2800 W. Montrose Ave.
235,71,"HSR Property Services, LLC",Naomi & Sylvester Smith Senior Living Ctr.,Senior HUD 202,59,8031 S. Halsted St.
236,28,Marquette Management Inc.,Atrio,ARO,52,1922 W. Ogden Ave.
237,38,"HSR Property Services, LLC",Margaret Ford Manor Independent Living,Senior HUD 202,63,4500 S. Wabash Ave.
238,6,Thresholds,Buffet Place,Supportive,51,3208 N. Shefield Ave.
239,3,Quest Chicago,4420 N. Sheridan Apts.,ARO,1,4420 N. Sheridan Road
240,15,Life Care Services,Clarendale Six Corners,ARO,11,4715 W. Irving Park Road
241,31,Stellar Performance Inc.,Woodwork Lofts,ARO,10,1414-48 W. 21st St.
242,46,Alexian Brothers Bonaventure House,Bettendorf Place SRO,Supportive Housing,23,8425 S. Saginaw Ave.
243,22,Bickerdike Apartments,Zapata Apts.,Multifamily,12,3503 W. Armitage Ave
244,4,CA Urban Living,SB 1900 W Lawrence Ave LLC,ARO,6,1900 W. Lawrence Ave.
245,77,Hunter Properties,Winthrop Apts.,Multifamily,108,6214 N. Winthrop Ave.
246,43,Interfaith Housing Corp.,Jeffrey Towers Apts.,Multifamily,136,7020 S. Jeffrey Blvd.
247,23,LUCHA,Humboldt Park Residences,Supportive Housing,69,1152 N. Christiana Ave.
248,3,Peak Properties,LALux Apts.,ARO,4,4747 N. Ashland Ave.
249,8,Holsten Real Estate Dev. Corp.,Parkside of Old Town Phase IIA,Multifamily,111,544 W. Oak St.
250,35,"Urban Property Advisors, LLC",Park Boulevard IIB,Mutifamily,12,15 W. 37th St.
251,36,"Urban Property Advisors, LLC",Lakefront Phase II,Multifamily,3,1137 E. Bowen Ave.
252,2,Devon NJ LLC,Joy Plaza Residences,ARO,3,6411 N. Rockwell Ave.
253,35,"Urban Property Advisors, LLC",Park Boulevard IIB,Multifamily,12,3633 S. State St.
254,13,Elderly Housing Devp. & Operations Corp.,J. Michael Fitzgerald Apts.,Senior,63,5801 N. Pulaski Road
255,7,Peak Properties,The Ludlow,ARO,25,2032 N. Clybourn Ave.
256,19,Preservation Housing Management LLC,Archer Avenue Senior Residences,Senior,55,2928 S. Archer Ave.
257,24,Hispanic Housing Dev. Corp.,Boulevard Court Family Housing,Multifamily,52,1723-33 N. Humboldt Blvd.
258,36,"Urban Property Advisors, LLC",Lakefront Phase II,Multifamily,3,1125 E. Bowen Ave.
259,2,Perlmark Realty Management,Lincoln Village Senior Apts.,Senior,99,6057 N. Lincoln Ave.
260,29,A Safe Haven Foundation,Roosevelt Road Veterans Hsg.,Veterans,90,2908 W. Roosevelt Road
261,18,Pathway Senior Living,Victory Centre of Galewood,Senior Supportive Living,78,2370 N. Newcastle Ave.
262,6,Newport Realty,SOBE Apts.,ARO,1,3208 N. Southport Ave.
263,24,"RRG Development, Inc.",Wicker Park Renaissance,Supportive Housing,102,1527-31 N. Wicker Park Ave.
264,36,"The Community Builders, Inc.",Oakwood Shores Terrace,Senior,148,3755 S. Cottage Grove Ave.
265,13,Elderly Housing Devp. & Operations Corp.,North Park Village Apts.,Senior,137,5801 N. Pulaski Road
266,43,Senior Lifestyle Corp.,Senior Suites of Rainbow Beach,Senior,87,2804 E. 77th Place
267,36,"Urban Property Advisors, LLC",Lakefront Phase II,Multifamily,6,4130 S. Oakenwald Ave.
268,8,Omni Group,Atrium at Old Town Park,ARO,41,300 W. Hill St.
269,8,Onni Group,Onni Atrium Devp.,ARO,43,202 W. Hill St.
270,28,Marquette Management,The Thompson,ARO,32,150 N. Ashland Ave.
271,1,CIG Management,Morse Senior Apts.,Senior,44,1528 W. Morse Ave.
272,68,The Thresholds,Rowan Trees Apts.,Supportive Housing,167,500 W. Englewood Ave.
273,22,Trilogy Residential Management,Noca Blu,ARO,14,2328-48 N. California Ave.
274,36,"Urban Property Advisors, LLC",Lakefront Phase II,Multifamily,3,4116 S. Oakenwald Ave.
275,61,The Resurrection Project,Casa Hidalgo,Multifamily,10,4600 S. Wood St.
276,31,The Resurrection Project,Casa Guanajuato,Multifamily,6,1313 W. 19th St.
277,28,Honore Properties,1218 W Lexington St,ARO,3,1218 W. Lexington St.
278,6,33 Realty,The Bel,ARO,4,941 W. Belmont Ave.
279,22,Metropolitan Housing Dev. Corp.,Pennycuff Apts.,Multifamily,41,2031 N. Milwaukee Ave.
280,53,Source Works Development,Hancock House,Supportive Housing,90,12045 S. Emerald Ave.
281,38,The Community Builders Inc.,Cornerstone Apts.,Multifamily,21,4950 S. Langley Ave.
282,29,Interstate Realty Management Co.,Park Douglas,Multifamily,5,2639 W. 12th Pl
283,38,Peoples Co-Op Management Service,Bronzeville Senior Apts.,Senior,97,460 E. 41st St.
284,6,The Inverbrass Funds LLC,Broadway Apts.,ARO,2,3120-22 N. Broadway
285,25,Affordable Property Management Specialist,Rebecca Walker Complex,Multifamily,40,126 S. Central Ave.
286,31,The Resurrection Project,Casa Maravilla,Senior,5,2021 S. Morgan St.
287,28,Sage West Loop,1050 Van Buren,ARO,16,1050 W. Van Buren St.
288,22,Laramar Group,2400 Cortland,ARO,2,2404-14 W. Cortland St.
289,28,Tandem Property Management,1125 Van Buren LLC,ARO,5,1125 W. Van Buren St.
290,35,"Urban Property Advisors, LLC",Park Boulevard IIA,Multifamily,6,3604 S. State St.
291,22,LUCHA,Tierra Linda Apts.,Multifamily,3,1802 N. Sawyer Ave.
292,23,LUCHA,Madres Unidas (scattered sites),Multifamily,80,3541 W. North Ave.
293,43,"Urban Property Advisors, LLC",Rainbow's End,Senior,84,7538 S. Kingston Ave.
294,40,Harriet Tubman NFP,"Brand New Beginnings, Inc.",People with Disabilities,25,5801 S. Michigan Ave.
295,25,Senior Lifestyle Corp.,Senior Suites of Austin,Senior,84,335 N. Menard Ave.
296,22,2293NMA LLC,MiCA,ARO,22,2733 W. Belden Ave.
297,54,"DRE, Inc.",Concordia Apts.,Senior,75,13037 S. Daniel Dr.
