management_company,phone_number
Senior Lifestyle Co.,773-523-9333
Senior Lifestyle Corp.,312-326-0333
Sergio & Banks Real Estate,708-997-0164
Silver Property Group,312-462-4030
Source Works Development,773-568-3000
Source Works Management,773-568-2929
Spaces Real Estate,773-525-6570
St. Andrew's Court LP,312-226-7620
St. Edmund's Manor Ltd.,773-548-8924
St. Edmund's Redevelopment Corp.,773-493-2411
St. Edmund's Village LP,773-493-2411
Standard Communities,773-268-0200
Stellar Performance Inc.,312-576-7392
Sterling Bay,872.328.0028
TLC Management Co.,773-752-0382
TLC Management Co. (chicagorentals.com),833-362-0337
TMG Management,773-404-9904
Tandem Inc.,312-837.3920
Tandem Property Management,312-262-6406
The Apartment Source,773-404-9900
The Brixen,872-256-8321
The CHA,773-743-7273
The Community Builders,773-373-1300
The Community Builders Inc.,312-577-5555
"The Community Builders, Inc.",773-373-1300
The FLATS,872-259-7452
The Habitat Co.,773-826-3300
The Inverbrass Funds LLC,773-276-4266
The Oasis of Bucktown LLC,773-235-4559
The Renaissance Collaborative,773-924-9270
The Renaissance Cos.,773-283-4655
The Resurrection Project,312-666-1323
The Thresholds,773-572-5500
Thresholds,312-572-5272
Tri-Mart Management Co.,773-924-7700
Triangle & Assoc.,773-840-3993
Trilogy Residential Management,773-897-5221
UP Holdings,773-904-0170
UPA LLC,872-263-2362
"Universal Management Service, Inc.",773-536-3057
"Urban Property Advisors, LLC",773-548-8792
Ventus Holdings LLC,844-783-6887
Village Green Management Co.,773-276-2965
Voluinteers of America Illinois,773-874-3610
Volunteers of America Illinois,773-475-6703
WECAN,773-288-3000
Waller Street L.P.,773-626-3298
West Englewood Dev. Org.,773-778-2884
West Ridge Senior Corp.,773-381-7400
Westward 360,773-572-0880
White Oak Realty Partners,312-983-7152
Wicker Park Apartments Inc.,773-278-8078
Willow Bridge,312-820-1000
Wilmot Properties,773-772-8500
Wolcott Real Property LLC,312-226-2200
Woodlawn Comm. Dev. Corp.,312-674-9210
Woodlawn East Community,773-288-4202
Yale Building LLP,773-224-7669
ZRS Management,312-626-0473
Zidan Management Group,847-653-6922
Zitella Development,847-653-6922
rmk Management,312-330-3210
